Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
26-SEP-2019,501421,170.95,167.45,0.0207,0.0186,0.0187,0.3573
26-SEP-2019,501423,673.70,641.05,0.0497,0.0416,0.0421,0.8043
26-SEP-2019,501430,1040.00,999.00,0.0402,0.0785,0.0767,1.4654
26-SEP-2019,501477,27.00,27.00,0.0000,0.0080,0.0078,0.1490
26-SEP-2019,501630,18.30,18.30,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,501700,65.95,65.55,0.0061,0.0051,0.0052,0.0993
26-SEP-2019,501827,285.20,285.20,0.0000,0.0158,0.0153,0.2923
26-SEP-2019,501831,159.05,157.30,0.0111,0.0316,0.0308,0.5884
26-SEP-2019,501833,4.01,4.16,-0.0367,0.0338,0.0340,0.6496
26-SEP-2019,501945,1.96,1.96,0.0000,0.0035,0.0034,0.0650
26-SEP-2019,502015,11.04,11.02,0.0018,0.0410,0.0398,0.7604
26-SEP-2019,502175,39.95,39.95,0.0000,0.0297,0.0288,0.5502
26-SEP-2019,502250,280.00,280.00,0.0000,0.0101,0.0098,0.1872
26-SEP-2019,502271,6.16,6.16,0.0000,0.0241,0.0234,0.4471
26-SEP-2019,502281,5.70,5.70,0.0000,0.0422,0.0409,0.7814
26-SEP-2019,502294,49.35,49.35,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,502407,55.50,56.00,-0.0090,0.0306,0.0297,0.5674
26-SEP-2019,502445,11.99,11.93,0.0050,0.0412,0.0400,0.7642
26-SEP-2019,502460,32.60,32.60,0.0000,0.0270,0.0262,0.5006
26-SEP-2019,502587,61.15,62.00,-0.0138,0.0262,0.0256,0.4891
26-SEP-2019,502865,1659.40,1668.55,-0.0055,0.0267,0.0259,0.4948
26-SEP-2019,502873,19.80,19.75,0.0025,0.0359,0.0348,0.6649
26-SEP-2019,502893,12.91,12.91,0.0000,0.0109,0.0106,0.2025
26-SEP-2019,502901,1650.00,1684.00,-0.0204,0.0462,0.0451,0.8616
26-SEP-2019,502933,9.60,9.60,0.0000,0.0069,0.0067,0.1280
26-SEP-2019,502958,2050.00,2116.15,-0.0318,0.0430,0.0424,0.8101
26-SEP-2019,503015,72.70,71.50,0.0166,0.0172,0.0172,0.3286
26-SEP-2019,503092,18.05,18.05,0.0000,0.0096,0.0093,0.1777
26-SEP-2019,503127,1600.00,1600.00,0.0000,0.0131,0.0127,0.2426
26-SEP-2019,503162,66.05,64.70,0.0207,0.0403,0.0394,0.7527
26-SEP-2019,503229,60.25,57.40,0.0485,0.0230,0.0253,0.4834
26-SEP-2019,503349,1810.00,1882.05,-0.0390,0.0319,0.0324,0.6190
26-SEP-2019,503622,7.00,7.00,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,503624,100.30,105.55,-0.0510,0.0129,0.0177,0.3382
26-SEP-2019,503641,56.00,54.60,0.0253,0.0319,0.0315,0.6018
26-SEP-2019,503657,9.55,9.30,0.0265,0.0417,0.0409,0.7814
26-SEP-2019,503659,21.35,21.35,0.0000,0.0139,0.0135,0.2579
26-SEP-2019,503663,0.38,0.38,0.0000,0.0191,0.0185,0.3534
26-SEP-2019,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,503675,3.10,3.10,0.0000,0.0140,0.0136,0.2598
26-SEP-2019,503681,6.80,6.80,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,503691,17.15,17.15,0.0000,0.0212,0.0206,0.3936
26-SEP-2019,503696,55.00,55.00,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,503772,14.25,14.25,0.0000,0.0353,0.0342,0.6534
26-SEP-2019,503776,12.66,13.32,-0.0508,0.0333,0.0346,0.6610
26-SEP-2019,503804,117.20,113.05,0.0361,0.0193,0.0207,0.3955
26-SEP-2019,503816,27.00,27.00,0.0000,0.0169,0.0164,0.3133
26-SEP-2019,503831,77.30,78.50,-0.0154,0.0220,0.0217,0.4146
26-SEP-2019,503837,5.40,5.40,0.0000,0.0377,0.0366,0.6992
26-SEP-2019,503863,5.40,5.40,0.0000,0.0043,0.0042,0.0802
26-SEP-2019,504000,50.05,50.00,0.0010,0.0279,0.0271,0.5177
26-SEP-2019,504028,23.50,24.00,-0.0211,0.0399,0.0390,0.7451
26-SEP-2019,504076,6.16,6.16,0.0000,0.0245,0.0238,0.4547
26-SEP-2019,504080,87.00,87.00,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,504084,3039.00,2900.00,0.0468,0.0253,0.0271,0.5177
26-SEP-2019,504092,5.94,5.86,0.0136,0.0375,0.0365,0.6973
26-SEP-2019,504093,157.90,168.90,-0.0673,0.0193,0.0249,0.4757
26-SEP-2019,504132,112.95,110.25,0.0242,0.0445,0.0435,0.8311
26-SEP-2019,504176,214.90,222.05,-0.0327,0.0473,0.0466,0.8903
26-SEP-2019,504180,1.79,1.79,0.0000,0.0348,0.0337,0.6438
26-SEP-2019,504240,15.59,15.59,0.0000,0.0369,0.0358,0.6840
26-SEP-2019,504258,349.80,341.10,0.0252,0.0286,0.0284,0.5426
26-SEP-2019,504335,1.24,1.20,0.0328,0.0359,0.0357,0.6820
26-SEP-2019,504340,0.58,0.59,-0.0171,0.0145,0.0147,0.2808
26-SEP-2019,504341,39.50,40.00,-0.0126,0.0570,0.0553,1.0565
26-SEP-2019,504351,0.19,0.19,0.0000,0.0003,0.0003,0.0057
26-SEP-2019,504356,10.00,10.00,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,504360,14.70,14.70,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,504378,1.17,1.17,0.0000,0.0208,0.0202,0.3859
26-SEP-2019,504380,0.36,0.36,0.0000,0.0016,0.0016,0.0306
26-SEP-2019,504390,6.30,6.30,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,504392,15.40,15.40,0.0000,0.0320,0.0310,0.5923
26-SEP-2019,504397,14.00,14.00,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,504398,13.28,13.28,0.0000,0.0050,0.0048,0.0917
26-SEP-2019,504605,462.30,498.00,-0.0744,0.0359,0.0393,0.7508
26-SEP-2019,504646,104.95,104.95,0.0000,0.0264,0.0256,0.4891
26-SEP-2019,504648,1.20,1.20,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,504673,3.74,3.74,0.0000,0.0140,0.0136,0.2598
26-SEP-2019,504697,1.04,1.04,0.0000,0.0235,0.0228,0.4356
26-SEP-2019,504717,0.35,0.35,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,504731,17.80,17.80,0.0000,0.0114,0.0111,0.2121
26-SEP-2019,504746,620.00,628.95,-0.0143,0.0108,0.0110,0.2102
26-SEP-2019,504786,207.20,207.00,0.0010,0.0501,0.0486,0.9285
26-SEP-2019,504810,20.50,20.80,-0.0145,0.0192,0.0190,0.3630
26-SEP-2019,504840,808.90,850.00,-0.0496,0.0369,0.0378,0.7222
26-SEP-2019,504882,33.70,33.70,0.0000,0.0048,0.0047,0.0898
26-SEP-2019,504908,110.00,115.25,-0.0466,0.0376,0.0382,0.7298
26-SEP-2019,504918,727.40,730.05,-0.0036,0.0334,0.0324,0.6190
26-SEP-2019,504959,1893.65,1897.45,-0.0020,0.0251,0.0243,0.4643
26-SEP-2019,504961,24.50,25.75,-0.0498,0.0310,0.0324,0.6190
26-SEP-2019,504988,476.00,499.50,-0.0482,0.0294,0.0309,0.5903
26-SEP-2019,505036,512.15,511.10,0.0021,0.0209,0.0203,0.3878
26-SEP-2019,505141,29.25,28.80,0.0155,0.0352,0.0343,0.6553
26-SEP-2019,505163,413.60,415.95,-0.0057,0.0266,0.0258,0.4929
26-SEP-2019,505212,42.00,43.25,-0.0293,0.0085,0.0109,0.2082
26-SEP-2019,505216,543.00,566.00,-0.0415,0.0295,0.0304,0.5808
26-SEP-2019,505232,740.00,715.00,0.0344,0.0313,0.0315,0.6018
26-SEP-2019,505250,47.50,47.50,0.0000,0.0354,0.0343,0.6553
26-SEP-2019,505283,156.45,156.95,-0.0032,0.0234,0.0227,0.4337
26-SEP-2019,505285,252.00,252.00,0.0000,0.0046,0.0045,0.0860
26-SEP-2019,505299,64.00,64.00,0.0000,0.0336,0.0326,0.6228
26-SEP-2019,505302,25.75,26.50,-0.0287,0.0331,0.0329,0.6286
26-SEP-2019,505320,27.50,27.50,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,505336,0.54,0.54,0.0000,0.0083,0.0080,0.1528
26-SEP-2019,505343,0.19,0.19,0.0000,0.0029,0.0028,0.0535
26-SEP-2019,505358,43.10,41.85,0.0294,0.0368,0.0364,0.6954
26-SEP-2019,505502,31.05,31.65,-0.0191,0.0113,0.0119,0.2273
26-SEP-2019,505506,0.52,0.52,0.0000,0.0225,0.0218,0.4165
26-SEP-2019,505515,9.51,9.51,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,505523,0.19,0.19,0.0000,0.0210,0.0204,0.3897
26-SEP-2019,505576,90.00,90.00,0.0000,0.0182,0.0176,0.3362
26-SEP-2019,505583,2.36,2.36,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,505585,2.90,2.90,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,505590,350.25,351.50,-0.0036,0.0296,0.0287,0.5483
26-SEP-2019,505594,32.80,32.80,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,505650,3.63,3.46,0.0480,0.0277,0.0293,0.5598
26-SEP-2019,505658,0.19,0.19,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,505681,312.85,314.00,-0.0037,0.0272,0.0264,0.5044
26-SEP-2019,505685,58.50,58.50,0.0000,0.0000,0.0000,0.0000
26-SEP-2019,505690,34.80,34.80,0.0000,0.0162,0.0157,0.2999
26-SEP-2019,505693,28.50,28.50,0.0000,0.0197,0.0191,0.3649
26-SEP-2019,505703,5.50,5.28,0.0408,0.0165,0.0189,0.3611
26-SEP-2019,505710,48.15,48.25,-0.0021,0.0111,0.0108,0.2063
26-SEP-2019,505711,0.73,0.73,0.0000,0.0222,0.0215,0.4108
26-SEP-2019,505712,57.15,57.55,-0.0070,0.0457,0.0443,0.8464
26-SEP-2019,505725,71.50,71.50,0.0000,0.0131,0.0127,0.2426
26-SEP-2019,505729,30.60,30.60,0.0000,0.0304,0.0295,0.5636
26-SEP-2019,505737,189.00,186.90,0.0112,0.0411,0.0399,0.7623
