Stocks allowed for MIS,Margin allowed
LIBERTSHOE:EQ,3X
LICHSGFIN:EQ,3X
LINCOLN:EQ,12.5X
LIQUIDBEES:EQ,3X
LT:EQ,10X
LUPIN:EQ,12.5X
M&M:EQ,12.5X
M&MFIN:EQ,12.5X
M50:EQ,12.5X
MAHINDCIE:EQ,3X
MAHLOG:EQ,3X
MAHSEAMLES:EQ,3X
MAJESCO:EQ,3X
MANALIPETC:EQ,3X
MANAPPURAM:EQ,12.5X
MANINFRA:EQ,3X
MARICO:EQ,12.5X
MARUTI:EQ,12.5X
MASFIN:EQ,3X
MASTEK:EQ,3X
MCDOWELL-N:EQ,12.5X
MCX:EQ,12.5X
MEGH:EQ,3X
MFSL:EQ,12.5X
MGL:EQ,12.5X
MIDHANI:EQ,3X
MINDAIND:EQ,3X
MINDTREE:EQ,12.5X
MMTC:EQ,3X
MOIL:EQ,3X
MOLDTKPAC:EQ,3X
MOTHERSUMI:EQ,5X
MPHASIS:EQ,3X
MRF:EQ,12.5X
MRPL:EQ,3X
MUKANDLTD:EQ,3X
MUNJALAU:EQ,3X
MUTHOOTFIN:EQ,12.5X
NATCOPHARM:EQ,3X
NATIONALUM:EQ,12.5X
NAUKRI:EQ,3X
NAVINFLUOR:EQ,3X
NAVNETEDUL:EQ,3X
NBCC:EQ,12.5X
NCC:EQ,12.5X
NESTLEIND:EQ,12.5X
NETWORK18:EQ,3X
NFL:EQ,3X
NH:EQ,3X
NHPC:EQ,3X
NIACL:EQ,3X
NIFTYBEES:EQ,10X
NIITTECH:EQ,12.5X
NLCINDIA:EQ,3X
NMDC:EQ,12.5X
NOCIL:EQ,3X
NTPC:EQ,12.5X
OBEROIRLTY:EQ,3X
OFSS:EQ,12.5X
OIL:EQ,12.5X
OMAXE:EQ,3X
ONGC:EQ,12.5X
ORIENTBANK:EQ,3X
ORIENTCEM:EQ,3X
PAGEIND:EQ,5X
PAPERPROD:EQ,3X
PARAGMILK:EQ,3X
PCJEWELLER:EQ,3X
PEL:EQ,12.5X
PERSISTENT:EQ,3X
PETRONET:EQ,12.5X
PFC:EQ,11X
PFIZER:EQ,3X
PGHH:EQ,3X
PHILIPCARB:EQ,3X
PHOENIXLTD:EQ,3X
PIDILITIND:EQ,12.5X
PIIND:EQ,3X
PNB:EQ,12.5X
PNBGILTS:EQ,3X
PNBHOUSING:EQ,3X
POLYPLEX:EQ,3X
POWERGRID:EQ,12.5X
PRAJIND:EQ,3X
PRESTIGE:EQ,3X
PTC:EQ,3X
PVR:EQ,12.5X
QUICKHEAL:EQ,3X
RADICO:EQ,3X
RADIOCITY:EQ,3X
RAJESHEXPO:EQ,3X
RALLIS:EQ,3X
RAMCOCEM:EQ,12.5X
RAMCOIND:EQ,3X
RAYMOND:EQ,12.5X
RBLBANK:EQ,12.5X
RCF:EQ,3X
RECLTD:EQ,12.5X
RELAXO:EQ,3X
RELCAPITAL:EQ,3X
RELIANCE:EQ,12.5X
RELINFRA:EQ,3X
REPCOHOME:EQ,3X
RICOAUTO:EQ,3X
RIIL:EQ,3X
RKFORGE:EQ,3X
SAIL:EQ,12.5X
SALZERELEC:EQ,3X
SANGHIIND:EQ,3X
SANGHVIMOV:EQ,3X
SANOFI:EQ,3X
SBILIFE:EQ,3X
SBIN:EQ,12.5X
SCHAEFFLER:EQ,3X
SCHNEIDER:EQ,3X
SCI:EQ,3X
SELAN:EQ,3X
SEQUENT:EQ,3X
SHARDAMOTR:EQ,3X
SHREECEM:EQ,12.5X
SHRIRAMCIT:EQ,3X
SIEMENS:EQ,12.5X
SIS:EQ,3X
SJVN:EQ,3X
SKFINDIA:EQ,3X
SNOWMAN:EQ,3X
SOBHA:EQ,3X
SOLARINDS:EQ,3X
